geoname_id,name,ascii_name,feature_class,feature_code,population,admin1_code,admin2_code,latitude,longitude
757033,Tarnobrzeg,Tarnobrzeg,P,PPLA2,50459,80,1864,50.57304,21.67937
757357,Szczytno,Szczytno,P,PPLA3,26044,85,2817,53.56259,20.98747
757912,Stupsk,Stupsk,P,PPLA3,783,78,1413,53.02258,20.4368
758633,Sokołów Małopolski,Sokolow Malopolski,P,PPLA3,3975,80,1816,50.22909,22.11968
759007,Skrzyszów,Skrzyszow,P,PPLA3,3656,77,1216,49.99373,21.06139
759151,Skaryszew,Skaryszew,P,PPLA3,4135,78,1425,51.31075,21.25233
759190,Sitno,Sitno,P,PPLA3,703,75,0620,50.74944,23.3626
759301,Sieniawa,Sieniawa,P,PPLA3,2182,80,1814,50.1779,22.60954
761258,Proszowice,Proszowice,P,PPLA2,6146,77,1214,50.19275,20.28909
761477,Porąbka Uszewska,Porabka Uszewska,P,PPL,1255,77,1202,49.9426,20.69052
763014,Osieck,Osieck,P,PPLA3,954,78,1417,51.96653,21.41913
764531,Modliborzyce,Modliborzyce,P,PPLA3,1904,75,0605,50.75416,22.32945
765120,Masłów,Maslow,P,PPLA3,1528,84,2604,50.90065,20.72322
765639,Jeziorzany,Jeziorzany,P,PPLA3,780,75,0608,51.60245,22.27667
765932,Lubaczów,Lubaczow,P,PPLA2,12595,80,1809,50.157,23.12339
766073,Łochów,Lochow,P,PPLA3,6486,78,1433,52.53076,21.68158
766191,Lipinki,Lipinki,P,PPL,2157,77,1205,49.67296,21.29288
766522,Łęki Górne,Leki Gorne,P,PPL,1700,80,1803,49.97386,21.17426
767627,Kraśniczyn,Krasniczyn,P,PPLA3,447,75,0606,50.93171,23.34929
767883,Kowale Oleckie,Kowale Oleckie,P,PPL,2209,85,2813,54.16354,22.41666
770078,Jeziorany,Jeziorany,P,PPLA3,3382,85,2814,53.97578,20.74639
770647,Jagiełła,Jagiella,P,PPL,1114,80,1814,50.0946,22.57261
771192,Guzów,Guzow,P,PPL,1108,78,1438,52.11626,20.33672
771735,Gorzków,Gorzkow,P,PPLA3,264,75,0606,50.94778,23.01267
771804,Gorlice,Gorlice,P,PPL,28609,77,1205,49.65563,21.16035
772066,Głuchów,Gluchow,P,PPLA3,1000,74,1015,51.77947,20.07666
773833,Czaszyn,Czaszyn,P,PPL,1433,80,1817,49.44854,22.2165
773965,Czarna,Czarna,P,PPLA3,1600,80,1810,50.10979,22.18165
774535,Chlewiska,Chlewiska,P,PPLA3,1089,78,1430,51.24376,20.76871
775183,Brzesko,Brzesko,P,PPLA2,16866,77,1202,49.96911,20.60606
775304,Brok,Brok,P,PPL,1896,78,1416,52.69948,21.85704
775672,Bojanów,Bojanow,P,PPLA3,1200,80,1818,50.42531,21.95111
775810,Stara Błotnica,Stara Blotnica,P,PPLA3,272,78,1401,51.54676,20.97479
3079969,Żukowo,Zukowo,P,PPL,6494,82,2205,54.3422,18.36476
3080226,Ziębice,Ziebice,P,PPLA3,9328,72,0224,50.60122,17.04065
3080442,Zbytków,Zbytkow,P,PPL,1236,83,2403,49.92288,18.72697
3080473,Zbójno,Zbojno,P,PPLA3,841,73,0405,53.00848,19.1575
3080944,Żagań,Zagan,P,PPL,26251,76,0810,51.61759,15.31486
3081701,Włoszakowice,Wloszakowice,P,PPLA3,3159,86,3013,51.92754,16.36456
3082144,Wierzbno,Wierzbno,P,PPL,1047,72,0215,50.93674,17.17961
3082287,Wielka Nieszawka,Wielka Nieszawka,P,PPLA3,460,73,0415,52.99619,18.50973
3082611,Warlubie,Warlubie,P,PPL,2043,73,0414,53.58751,18.63444
3082718,Waganiec,Waganiec,P,PPL,1300,73,0401,52.8012,18.87589
3082931,Tworóg,Tworog,P,PPLA3,3607,83,2413,50.531,18.71572
3083133,Trzebielino,Trzebielino,P,PPLA3,744,82,2201,54.19996,17.08726
3083169,Trzcinica,Trzcinica,P,PPLA3,1158,86,3008,51.16707,18.00453
3084093,Świdnica,Swidnica,P,PPLA2,60351,72,0219,50.84378,16.48859
3084312,Subkowy,Subkowy,P,PPL,1941,82,2214,54.00227,18.76928
3084673,Stegna,Stegna,P,PPLA3,1978,82,2210,54.32684,19.11252
3084912,Starcza,Starcza,P,PPL,1232,83,2404,50.66421,19.0418
3085158,Sompolno,Sompolno,P,PPLA3,3610,86,3010,52.38832,18.50282
3085360,Smołdzino,Smoldzino,P,PPLA3,984,82,2212,54.66318,17.21369
3085786,Skoczów,Skoczow,P,PPLA3,14810,83,2403,49.80089,18.7877
3086288,Sanniki,Sanniki,P,PPLA3,2000,78,1404,52.33046,19.86766
3086565,Rycerka Górna,Rycerka Gorna,P,PPL,1602,83,2417,49.44436,19.01596
3087628,Pyskowice,Pyskowice,P,PPLA3,19018,83,2405,50.4,18.63333
3087975,Przeginia,Przeginia,P,PPL,2093,77,1206,50.23831,19.68853
3088067,Pruchna,Pruchna,P,PPL,2446,83,2403,49.86527,18.68191
3088324,Popielów,Popielow,P,PPL,2400,79,1609,50.82632,17.74378
3088418,Polska Cerekiew,Polska Cerekiew,P,PPLA3,1429,79,1603,50.22827,18.12675
3089282,Pelplin,Pelplin,P,PPL,8320,82,2214,53.92834,18.6977
3089301,Pecna,Pecna,P,PPL,1825,86,3021,52.18333,16.8
3089461,Parchowo,Parchowo,P,PPLA3,1019,82,2201,54.20658,17.66816
3089553,Pajęczno,Pajeczno,P,PPLA3,6731,74,1009,51.14449,18.99612
3089582,Ozorków,Ozorkow,P,PPLA3,20608,74,1020,51.96336,19.29139
3090285,Ogrodzieniec,Ogrodzieniec,P,PPL,4467,83,2416,50.45177,19.51987
3090660,Nowe,Nowe,P,PPL,6104,73,0414,53.64906,18.72716
3091874,Mieścisko,Miescisko,P,PPL,2500,86,3028,52.74357,17.33213
3092461,Malec,Malec,P,PPL,1239,77,1213,49.92106,19.2453
3092856,Luboń,Lubon,P,PPLA3,26431,86,3021,52.34705,16.89267
